ppm	mollisols	cambisol	acrisol
148.745	0.000583716	0.000810963	0.000559847
12.8463	0.000584401	0.000544858	0.000399549
91.9586	0.000584688	0.000750981	0.000834313
156.996	0.00058596	0.000495033	0.000472126
90.0172	0.000586903	0.000629019	0.000895562
91.716	0.000590263	0.000736101	0.000842584
161.607	0.000590332	0.000428923	0.000469236
150.686	0.000591199	0.000537235	0.000531242
93.9001	0.000592913	0.000711033	0.000795906
178.837	0.000593899	0.000570289	0.000307661
147.531	0.000595078	0.000724926	0.000581655
162.577	0.000599025	0.000484638	0.00050049
161.849	0.000599156	0.000466067	0.000476494
158.695	0.000599439	0.00048152	0.000444751
159.665	0.000601763	0.000484638	0.000436163
13.089	0.000601795	0.00053455	0.000452234
156.753	0.000602556	0.000523098	0.000471114
144.619	0.00060318	0.00059153	0.00048854
162.335	0.000603503	0.000496003	0.000492235
89.7746	0.00060384	0.000666873	0.00090979
148.502	0.000604184	0.000813853	0.000566652
162.82	0.000605355	0.000473273	0.000508989
150.929	0.000606747	0.000580078	0.000532912
147.774	0.000606802	0.000760438	0.000581096
145.833	0.000607353	0.00063044	0.000516898
143.163	0.00060765	0.000618971	0.000518683
162.092	0.000607976	0.000481035	0.000484207
152.87	0.000610213	0.000719643	0.000570912
148.259	0.000611355	0.000816743	0.000572925
163.063	0.000611685	0.000461909	0.000517852
94.1427	0.000612464	0.000746201	0.000808667
156.51	0.000612783	0.000551164	0.000469802
13.3316	0.000613787	0.000524242	0.000507207
158.937	0.000615538	0.000515545	0.000440321
152.628	0.000616586	0.000743602	0.000567977
159.423	0.000616698	0.000521504	0.000436028
89.5319	0.000617036	0.000704727	0.000927477
148.017	0.000618522	0.00078859	0.000577975
151.172	0.000620635	0.000622921	0.000535876
153.113	0.00062185	0.000695684	0.000571477
152.385	0.000622956	0.000750375	0.000563263
156.268	0.00062301	0.000544858	0.000469087
94.3854	0.000625363	0.000781373	0.000827242
13.5743	0.00062578	0.000558284	0.00056285
144.862	0.000627233	0.000607294	0.000489084
152.142	0.000629329	0.000757151	0.00055746
89.2892	0.000630231	0.00072484	0.00094845
159.18	0.000631634	0.000518524	0.000437377
156.025	0.000633233	0.000538552	0.000469831
153.356	0.000633487	0.000658419	0.00056927
151.414	0.000634524	0.000665764	0.000540068
151.657	0.000635115	0.000708607	0.000545309
151.9	0.000635702	0.000732879	0.000551268
145.59	0.000636775	0.000631306	0.000506275
89.0465	0.000636775	0.000744954	0.000971973
94.6281	0.000638265	0.000741697	0.000850766
163.305	0.000640179	0.000450544	0.000527301
178.594	0.000640759	0.000622349	0.000338541
88.8039	0.000643322	0.00075176	0.000996826
155.782	0.00064346	0.0005012	0.000472709
145.347	0.000644033	0.000632172	0.000497902
13.817	0.000644421	0.000592326	0.000617661
142.921	0.000645729	0.000635014	0.000525238
94.8708	0.000646871	0.000702024	0.000877745
145.105	0.000651287	0.000619733	0.000492149
88.5612	0.000652501	0.000758573	0.001021509
95.1134	0.000655478	0.000631306	0.000906283
153.598	0.000658421	0.000621154	0.000564144
88.3185	0.000661677	0.000787557	0.001044546
14.0597	0.000663065	0.000665452	0.000670417
155.54	0.00066341	0.000463849	0.000478106
163.548	0.000668673	0.000455239	0.000537624
95.3561	0.000670736	0.000560588	0.000934401
178.351	0.000674318	0.000674409	0.000374025
155.297	0.000683359	0.000438469	0.000486068
153.841	0.000683359	0.000576405	0.000556236
142.678	0.000683809	0.000648838	0.000530633
88.0758	0.000684157	0.000816541	0.001064832
95.5988	0.000685991	0.000543853	0.000960389
14.3024	0.000695837	0.000738578	0.000720264
163.791	0.000696337	0.000459934	0.000549149
155.054	0.000703309	0.000413089	0.000496306
154.084	0.000704418	0.000531657	0.00054596
87.8332	0.000706633	0.000876568	0.001081915
178.109	0.00070788	0.000775255	0.00041468
108.703	0.000710063	0.000812258	0.000797991
95.8415	0.000718564	0.000527118	0.000983118
142.435	0.000721888	0.000662663	0.000534155
108.461	0.000722997	0.000785356	0.000815691
154.812	0.000723258	0.000427624	0.000508243
164.033	0.000724002	0.000486804	0.000562214
154.569	0.000724368	0.000442159	0.000521097
154.326	0.000725473	0.000486908	0.000533973
108.946	0.00072816	0.000839161	0.000779654
14.545	0.000728609	0.000811704	0.00076671
108.218	0.000735936	0.000771751	0.000832977
164.276	0.000738368	0.000513674	0.000577167
87.5905	0.000739779	0.000936594	0.001096153
109.189	0.000746253	0.000845749	0.000761057
96.0841	0.00075114	0.000585778	0.001002218
164.519	0.000752732	0.000532506	0.000594347
177.866	0.00075391	0.000876096	0.000460972
164.761	0.000754907	0.000551337	0.000614086
165.004	0.000757078	0.000539123	0.000636684
142.193	0.000759971	0.000654313	0.000535232
14.7877	0.000761381	0.000884834	0.000809596
165.247	0.000772551	0.000526909	0.00066238
87.3478	0.000772924	0.001005771	0.001108685
109.431	0.000774117	0.000852331	0.000743025
107.975	0.000777684	0.000758154	0.000850679
141.95	0.000783089	0.000645963	0.000533574
165.489	0.000788023	0.000502777	0.000691325
96.3268	0.000790361	0.000644438	0.001018105
15.0304	0.000794153	0.000921919	0.00084904
177.623	0.000799939	0.000983316	0.0005132
109.674	0.00080198	0.000845607	0.000726591
47.0636	0.000804163	0.001127247	0.001180533
87.1051	0.000806069	0.001074947	0.001121199
141.707	0.000806207	0.000622575	0.000529279
141.465	0.000816024	0.000599186	0.000522869
46.8209	0.000816304	0.001149619	0.001158095
165.732	0.000816797	0.000478644	0.000723563
107.733	0.000819436	0.000796115	0.000870117
15.2731	0.000821799	0.000959012	0.000885413
47.3063	0.000825541	0.001104882	0.001208868
141.222	0.000825845	0.000575799	0.000515229
46.5782	0.000828441	0.001173571	0.001138579
96.5695	0.000829586	0.000708087	0.001031845
109.917	0.000829844	0.000838883	0.00071272
140.979	0.000834002	0.000552411	0.000507478
111.615	0.000835093	0.000796198	0.000688627
111.858	0.000838436	0.000788718	0.000688859
86.8624	0.000839215	0.00111308	0.00113558
112.101	0.000841778	0.000777906	0.000689401
140.737	0.000842159	0.000543991	0.000500782
111.373	0.000845048	0.000803685	0.000688376
165.975	0.00084557	0.000494427	0.000759053
47.549	0.000846919	0.001104695	0.001232572
15.5157	0.000849449	0.000969494	0.000919311
140.494	0.000850315	0.000535572	0.000496182
46.3356	0.000853883	0.001197531	0.00112284
111.13	0.000855006	0.000811165	0.000688209
110.159	0.000857707	0.000833829	0.000702057
140.251	0.000858469	0.000549328	0.000494459
112.343	0.000862297	0.000767094	0.00069089
110.887	0.000862333	0.000818652	0.000688656
96.8122	0.000862989	0.000771736	0.001044885
110.402	0.000863682	0.000828768	0.000694775
86.6198	0.000864048	0.001151206	0.001153488
110.645	0.000869656	0.000823706	0.000690546
15.7584	0.000877095	0.000979977	0.000951546
140.008	0.000877483	0.000563083	0.000496066
46.0929	0.000879321	0.001194881	0.001111565
177.381	0.000881434	0.001090536	0.000571425
112.586	0.000882819	0.000756282	0.000694055
107.49	0.000883356	0.000834069	0.000892865
166.217	0.000887641	0.000510209	0.000797719
86.3771	0.000888881	0.001153857	0.001176011
44.6368	0.000888982	0.001109681	0.001135089
44.8795	0.00089513	0.001102913	0.001123077
